area,count,endTime,latitude,location,longitude,provider,siteID,startTime,usmart_id
Stirling,32,2023-06-15T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-06-14T00:00:00,"b73b18ba92e88d1cd550bfc92ce7364b"
Stirling,55,2023-06-16T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-06-15T00:00:00,"d8822edd096951187beef6e23fbfafc5"
Stirling,77,2023-06-19T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-06-18T00:00:00,"67aafd4708e8d531db3e7b5573992145"
Stirling,28,2023-06-24T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-06-23T00:00:00,"4b93630c622b2e0c093cefcaf76cdcc1"
Stirling,30,2023-06-29T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-06-28T00:00:00,"d106d8269d140d179b68fcf1169c2b85"
Falkirk,60,2023-07-09T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-07-08T00:00:00,"8786bcb9bc62657e211accf52b2df9f9"
Falkirk,65,2023-07-23T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-07-22T00:00:00,"b62c3c8f03c4153ce08d21915c76b8b5"
Falkirk,38,2023-07-26T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-07-25T00:00:00,"0592ff32b941ec43382c4005f8f3825c"
Falkirk,50,2023-07-31T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-07-30T00:00:00,"024a312b2483edb41140167c94244a74"
Falkirk,61,2023-07-03T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-07-02T00:00:00,"60d53be8598ef80de2455601c4789b22"
Falkirk,42,2023-07-04T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-07-03T00:00:00,"861e4461ee0abddd522146609965004a"
Falkirk,40,2023-07-08T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-07-07T00:00:00,"551afeccbc160993bed9fd8837c48733"
Falkirk,41,2023-07-09T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-07-08T00:00:00,"1b23e1cfdd970814d572ad51e9b849f5"
Falkirk,35,2023-07-14T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-07-13T00:00:00,"4727ac17c54f3e8629f007c8ff458e3a"
Falkirk,15,2023-07-15T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-07-14T00:00:00,"46efdff351bbccfbb04b5c6ada220bfb"
